,Class,Family,Genome Composition,Genus,Kingdom,Last Change,MSL of Last Change,Order,Phylum,Proposal for Last Change ,PubMed_Search,PubMed_Search_ln,Realm,Sort,Species,Subclass,Subfamily,Subgenus,Subkingdom,Suborder,Subphylum,Subrealm,Taxon History URL,Type Species?,family,genus,hits,hits_ln,number_of hosts,number_of hosts_x,number_of hosts_y,order,species,tax_id,tax_id_n,virus_name
148,Insthoviricetes,Orthomyxoviridae,ssRNA(-),Thogotovirus,,"Moved,",33.0,Articulavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,22,3.0910879068707438,,522.0,Dhori thogotovirus,,,,,,Polyploviricotina,,ICTVonline=20183969,0.0,Orthomyxoviridae,Thogotovirus,23,3.135537693244867,7,,,Articulavirales,Dhori thogotovirus,11318,11318,Dhori virus
149,Ellioviricetes,Hantaviridae,ssRNA(-),Orthohantavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,1,0.0009995003330834232,,366.0,Dobrava-Belgrade orthohantavirus,,,,,,Polyploviricotina,,ICTVonline=20180033,0.0,Hantaviridae,Orthohantavirus,653,6.481578660668826,0,,,Bunyavirales,Dobrava-Belgrade orthohantavirus,1980467,1980467,Dobrava-Belgrade orthohantavirus
150,Ellioviricetes,Nairoviridae,ssRNA(-),Orthonairovirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,42,3.7376934275237357,,396.0,Dugbe orthonairovirus,,,,,,Polyploviricotina,,ICTVonline=20180072,1.0,Nairoviridae,Orthonairovirus,99,4.595129951093676,9,,,Bunyavirales,Dugbe orthonairovirus,1980521,1980521,Dugbe virus
151,Monjiviricetes,Rhabdoviridae,ssRNA(-),Lyssavirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,1,0.0009995003330834232,,217.0,Duvenhage lyssavirus,,,,,,Haploviricotina,,ICTVonline=20181725,0.0,Rhabdoviridae,Lyssavirus,48,3.8712218440242134,0,,,Mononegavirales,Duvenhage lyssavirus,38767,38767,Duvenhage lyssavirus
152,,Togaviridae,ssRNA(+),Alphavirus,,"Moved,",2.0,,,Ratification_1974.pdf,271,5.602122510909793,,4674.0,Eastern equine encephalitis virus,,,,,,,,ICTVonline=20185088,0.0,Togaviridae,Alphavirus,1308,7.176255296542846,64,,,,Eastern equine encephalitis virus,11021,11021,Eastern equine encephalitis virus
153,Monjiviricetes,Filoviridae,ssRNA(-),Ebolavirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,3660,8.205218699619419,,67.0,Zaire ebolavirus,,,,,,Haploviricotina,,ICTVonline=20181569,1.0,Filoviridae,Ebolavirus,202,5.308272647884,24,,,Mononegavirales,Zaire ebolavirus,1570291,1570291,Ebola virus
154,,Poxviridae,dsDNA,Orthopoxvirus,,"Moved,",5.0,,,Ratification_1978.pdf,425,6.052091521862825,,4450.0,Ectromelia virus,,Chordopoxvirinae,,,,,,ICTVonline=20184770,0.0,Poxviridae,Orthopoxvirus,150,5.0106419607407,1,,,,Ectromelia virus,12643,12643,Ectromelia virus
155,,Flaviviridae,ssRNA(+),Flavivirus,,"Renamed,",12.0,,,ICTV 5th Report.pdf,6,1.7919261220073759,,2957.0,Edge Hill virus,,,,,,,,ICTVonline=20183082,0.0,Flaviviridae,Flavivirus,18,2.8904273119085677,1,,,,Edge Hill virus,64296,64296,Edge Hill virus
156,Ellioviricetes,Hantaviridae,ssRNA(-),Orthohantavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,0,-6.907755278982137,,367.0,El Moro Canyon orthohantavirus,,,,,,Polyploviricotina,,ICTVonline=20180034,0.0,Hantaviridae,Orthohantavirus,35,3.5553766325098297,0,,,Bunyavirales,El Moro Canyon orthohantavirus,1980468,1980468,El Moro Canyon orthohantavirus
157,,Picornaviridae,ssRNA(+),Cardiovirus,,"Renamed,",29.0,Picornavirales,,2014.016aV.A.v1.Picornaviridae_spren.pdf,1594,7.374002486702536,,2010.0,Cardiovirus A,,,,,,,,ICTVonline=20181971,1.0,Picornaviridae,Cardiovirus,323,5.777655419193096,35,,,Picornavirales,Cardiovirus A,12104,12104,Encephalomyocarditis virus
158,,Flaviviridae,ssRNA(+),Flavivirus,,"Moved,",9.0,,,Ratification_1984.pdf,8,2.079566533867987,,2958.0,Entebbe bat virus,,,,,,,,ICTVonline=20183083,0.0,Flaviviridae,Flavivirus,9,2.1973356822749484,13,,,,Entebbe bat virus,64283,64283,Entebbe bat virus
159,,Picornaviridae,ssRNA(+),Enterovirus,,"Renamed,",27.0,Picornavirales,,"2011.018a,bV.A.v2.Enterovirus-Sp,Ren.pdf",93,4.532610245783618,,2021.0,Enterovirus A,,,,,,,,ICTVonline=20181983,0.0,Picornaviridae,Enterovirus,29100,10.278493487523845,0,,,Picornavirales,Enterovirus A,138948,138948,Enterovirus A
160,,Reoviridae,dsRNA,Orbivirus,,"Moved,",25.0,,,2007.127-129V.v2.Spina-Sedoreovirinae.pdf,210,5.347112292610893,,4507.0,Epizootic hemorrhagic disease virus,,Sedoreovirinae,,,,,,ICTVonline=20184884,0.0,Reoviridae,Orbivirus,1222,7.108244958061811,2,,,,Epizootic hemorrhagic disease virus,40054,40054,Epizootic hemorrhagic disease virus
161,,Herpesviridae,dsDNA,Varicellovirus,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,96,4.56435860808025,,1593.0,Equid alphaherpesvirus 1,,Alphaherpesvirinae,,,,,,ICTVonline=20181448,0.0,Herpesviridae,Varicellovirus,1040,6.946976953673418,3,,,Herpesvirales,Equid alphaherpesvirus 1,10326,10326,Equid herpesvirus 1
162,,Herpesviridae,dsDNA,Varicellovirus,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,6,1.7919261220073759,,1594.0,Equid alphaherpesvirus 3,,Alphaherpesvirinae,,,,,,ICTVonline=20181449,0.0,Herpesviridae,Varicellovirus,32,3.4657671523114555,1,,,Herpesvirales,Equid alphaherpesvirus 3,80341,80341,Equid herpesvirus 3
163,,Herpesviridae,dsDNA,Varicellovirus,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,9,2.1973356822749484,,1595.0,Equid alphaherpesvirus 4,,Alphaherpesvirinae,,,,,,ICTVonline=20181450,0.0,Herpesviridae,Varicellovirus,102,4.624982617157782,1,,,Herpesvirales,Equid alphaherpesvirus 4,10331,10331,Equid herpesvirus 4
164,,Herpesviridae,dsDNA,Percavirus,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,7,1.9460529959950605,,1639.0,Equid gammaherpesvirus 5,,Gammaherpesvirinae,,,,,,ICTVonline=20181503,0.0,Herpesviridae,Percavirus,83,4.41885265591679,1,,,Herpesvirales,Equid gammaherpesvirus 5,10371,10371,Equid herpesvirus 5
165,,Herpesviridae,dsDNA,,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,3,1.09894556645823,,1650.0,Equid gammaherpesvirus 7,,Gammaherpesvirinae,,,,,,ICTVonline=20181516,0.0,Herpesviridae,,2,0.6936470556015963,1,,,Herpesvirales,Equid gammaherpesvirus 7,291612,291612,Equid herpesvirus 7
166,,Herpesviridae,dsDNA,Varicellovirus,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,1,0.0009995003330834232,,1596.0,Equid alphaherpesvirus 8,,Alphaherpesvirinae,,,,,,ICTVonline=20181451,0.0,Herpesviridae,Varicellovirus,8,2.079566533867987,1,,,Herpesvirales,Equid alphaherpesvirus 8,39637,39637,Equid herpesvirus 8
167,,Herpesviridae,dsDNA,Varicellovirus,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,2,0.6936470556015963,,1597.0,Equid alphaherpesvirus 9,,Alphaherpesvirinae,,,,,,ICTVonline=20181452,0.0,Herpesviridae,Varicellovirus,47,3.85016887807946,5,,,Herpesvirales,Equid alphaherpesvirus 9,55744,55744,Equid herpesvirus 9
168,,Arteriviridae,ssRNA(+),Alphaarterivirus,,"Renamed,Moved,",33.0,Nidovirales,,2017.012_015S.A.v1.Nidovirales.zip,388,5.96100791693954,,1669.0,Alphaarterivirus equid,,Equarterivirinae,,,Arnidovirineae,,,ICTVonline=20181827,1.0,Arteriviridae,Alphaarterivirus,1019,6.926578014576513,2,,,Nidovirales,Alphaarterivirus equid,11047,11047,Equine arteritis virus
169,,Retroviridae,ssRNA-RT,Equispumavirus,,"New,",32.0,Ortervirales,,2017.006D.A.v2.Spumaretrovirinae_4gen.zip,6,1.7919261220073759,,1949.0,Equine foamy virus,,Spumaretrovirinae,,,,,,ICTVonline=20185040,1.0,Retroviridae,Equispumavirus,13,2.5650262775800314,1,,,Ortervirales,Equine foamy virus,109270,109270,Equine foamy virus
170,,Retroviridae,ssRNA-RT,Lentivirus,,"New,",32.0,Ortervirales,,2017.013D.A.v1.Ortervirales.zip,588,6.376728648577453,,1940.0,Equine infectious anemia virus,,Orthoretrovirinae,,,,,,ICTVonline=20185028,0.0,Retroviridae,Lentivirus,3420,8.13739612245427,1,,,Ortervirales,Equine infectious anemia virus,11665,11665,Equine infectious anemia virus
171,,Papillomaviridae,dsDNA,Zetapapillomavirus,,"New,",32.0,,,2017.010D.A.v1.Papillomaviridae_2subf.zip,1,0.0009995003330834232,,3865.0,Zetapapillomavirus 1,,Firstpapillomavirinae,,,,,,ICTVonline=20184137,1.0,Papillomaviridae,Zetapapillomavirus,14,2.639128755635788,1,,,,Zetapapillomavirus 1,333919,333919,Equine papillomavirus 1
172,,Picornaviridae,ssRNA(+),Aphthovirus,,"Renamed,",29.0,Picornavirales,,2014.016aV.A.v1.Picornaviridae_spren.pdf,41,3.713596456650773,,2002.0,Equine rhinitis A virus,,,,,,,,ICTVonline=20181960,0.0,Picornaviridae,Aphthovirus,48,3.8712218440242134,2,,,Picornavirales,Equine rhinitis A virus,47000,47000,Equine rhinitis A virus
173,,Picornaviridae,ssRNA(+),Erbovirus,,"Renamed,",29.0,Picornavirales,,2014.016aV.A.v1.Picornaviridae_spren.pdf,18,2.8904273119085677,,2036.0,Erbovirus A,,,,,,,,ICTVonline=20181997,1.0,Picornaviridae,Erbovirus,60,4.09436122874988,1,,,Picornavirales,Erbovirus A,312185,312185,Equine rhinitis B virus
174,,Tobaniviridae,ssRNA(+),Torovirus,,"Moved,",33.0,Nidovirales,,2017.012_015S.A.v1.Nidovirales.zip,12,2.4849899796493045,,1753.0,Equine torovirus,,Torovirinae,Renitovirus,,Tornidovirineae,,,ICTVonline=20181888,1.0,Tobaniviridae,Torovirus,10,2.3026850879943788,1,,,Nidovirales,Equine torovirus,329862,329862,Equine torovirus
175,,Reoviridae,dsRNA,Orbivirus,,"Moved,",25.0,,,2007.127-129V.v2.Spina-Sedoreovirinae.pdf,4,1.3865443298750981,,4509.0,Eubenangee virus,,Sedoreovirinae,,,,,,ICTVonline=20184886,0.0,Reoviridae,Orbivirus,47,3.85016887807946,1,,,,Eubenangee virus,40056,40056,Eubenangee virus
176,,,,,,,,,,,119,4.7791318964375655,,,,,,,,,,,,,Rhabdoviridae,Lyssavirus,86,4.454358924092881,0,,,Mononegavirales,European bat lyssavirus,38768,38768,European bat lyssavirus
177,Monjiviricetes,Rhabdoviridae,ssRNA(-),Lyssavirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,24,3.178095496146581,,218.0,European bat 1 lyssavirus,,,,,,Haploviricotina,,ICTVonline=20181726,0.0,Rhabdoviridae,Lyssavirus,550,6.309920096406682,15,,,Mononegavirales,European bat 1 lyssavirus,57482,57482,European bat lyssavirus 1
178,Monjiviricetes,Rhabdoviridae,ssRNA(-),Lyssavirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,10,2.3026850879943788,,219.0,European bat 2 lyssavirus,,,,,,Haploviricotina,,ICTVonline=20181727,0.0,Rhabdoviridae,Lyssavirus,101,4.6151304177823445,8,,,Mononegavirales,European bat 2 lyssavirus,57483,57483,European bat lyssavirus 2
179,,Caliciviridae,ssRNA(+),Lagovirus,,"Renamed,",18.0,,,ICTV 7th Report.pdf,32,3.4657671523114555,,2772.0,European brown hare syndrome virus,,,,,,,,ICTVonline=20182801,0.0,Caliciviridae,Lagovirus,154,5.03695909589904,2,,,,European brown hare syndrome virus,33756,33756,European brown hare syndrome virus
180,,Papillomaviridae,dsDNA,Deltapapillomavirus,,"New,",32.0,,,2017.010D.A.v1.Papillomaviridae_2subf.zip,8,2.079566533867987,,3757.0,Deltapapillomavirus 1,,Firstpapillomavirinae,,,,,,ICTVonline=20184000,1.0,Papillomaviridae,Deltapapillomavirus,21,3.0445700556372914,1,,,,Deltapapillomavirus 1,10565,10565,European elk papillomavirus
181,,Togaviridae,ssRNA(+),Alphavirus,,"New,",4.0,,,ICTV 2nd Report.pdf,12,2.4849899796493045,,4676.0,Everglades virus,,,,,,,,ICTVonline=20185090,0.0,Togaviridae,Alphavirus,2,0.6936470556015963,6,,,,Everglades virus,2083198,2083198,Everglades virus
182,,Reoviridae,dsRNA,Coltivirus,,"Moved,",25.0,,,2007.127-129V.v2.Spina-Sedoreovirinae.pdf,16,2.7726512202867375,,4546.0,Eyach virus,,Spinareovirinae,,,,,,ICTVonline=20184929,0.0,Reoviridae,Coltivirus,90,4.499820781379649,1,,,,Eyach virus,62352,62352,Eyach virus
183,,Astroviridae,ssRNA(+),Mamastrovirus,,"Renamed,",26.0,,,2010.018a-cV.A.v4.Mamastrovirus.pdf,7,1.9460529959950605,,2624.0,Mamastrovirus 2,,,,,,,,ICTVonline=20182627,0.0,Astroviridae,Mamastrovirus,79,4.369460510614755,2,,,,Mamastrovirus 2,1239566,1239566,Feline astrovirus
184,,Caliciviridae,ssRNA(+),Vesivirus,,"Moved,",17.0,,,Ratification_1998.pdf,672,6.51025982861728,,2777.0,Feline calicivirus,,,,,,,,ICTVonline=20182810,0.0,Caliciviridae,Vesivirus,1194,7.085065131473135,2,,,,Feline calicivirus,11978,11978,Feline calicivirus
185,,Coronaviridae,ssRNA(+),Alphacoronavirus,,"Moved,",33.0,Nidovirales,,2017.012_015S.A.v1.Nidovirales.zip,329,5.7960607902744306,,1705.0,Alphacoronavirus 1,,Orthocoronavirinae,Tegacovirus,,Cornidovirineae,,,ICTVonline=20181849,1.0,Coronaviridae,Alphacoronavirus,2282,7.732807968634019,2,,,Nidovirales,Alphacoronavirus 1,12663,12663,Feline coronavirus
186,,Retroviridae,ssRNA-RT,Felispumavirus,,"New,",32.0,Ortervirales,,2017.006D.A.v2.Spumaretrovirinae_4gen.zip,65,4.17440265439268,,1950.0,Feline foamy virus,,Spumaretrovirinae,,,,,,ICTVonline=20185041,1.0,Retroviridae,Felispumavirus,48,3.8712218440242134,2,,,Ortervirales,Feline foamy virus,53182,53182,Feline foamy virus
187,,Retroviridae,ssRNA-RT,Lentivirus,,"New,",32.0,Ortervirales,,2017.013D.A.v1.Ortervirales.zip,1818,7.505492824792278,,1941.0,Feline immunodeficiency virus,,Orthoretrovirinae,,,,,,ICTVonline=20185029,0.0,Retroviridae,Lentivirus,3423,8.138272930671539,2,,,Ortervirales,Feline immunodeficiency virus,11673,11673,Feline immunodeficiency virus
188,,Retroviridae,ssRNA-RT,Gammaretrovirus,,"New,",32.0,Ortervirales,,2017.013D.A.v1.Ortervirales.zip,1162,7.0578987979966845,,1921.0,Feline leukemia virus,,Orthoretrovirinae,,,,,,ICTVonline=20185008,0.0,Retroviridae,Gammaretrovirus,1295,7.166266746334112,4,,,Ortervirales,Feline leukemia virus,11768,11768,Feline leukemia virus
189,,Parvoviridae,ssDNA(+/-),Protoparvovirus,,"New,",28.0,,,2013.001a-aaaV.A.v4.Parvoviridae.pdf,260,5.560685477161977,,3989.0,Carnivore protoparvovirus 1,,Parvovirinae,,,,,,ICTVonline=20184273,0.0,Parvoviridae,Protoparvovirus,4406,8.390722754325495,2,,,,Carnivore protoparvovirus 1,10786,10786,Feline panleukopenia virus
190,,Papillomaviridae,dsDNA,Lambdapapillomavirus,,"New,",32.0,,,2017.010D.A.v1.Papillomaviridae_2subf.zip,3,1.09894556645823,,3825.0,Lambdapapillomavirus 1,,Firstpapillomavirinae,,,,,,ICTVonline=20184087,0.0,Papillomaviridae,Lambdapapillomavirus,33,3.4965378640376557,1,,,,Lambdapapillomavirus 1,181667,181667,Feline papillomavirus
191,Ellioviricetes,Arenaviridae,ssRNA(+/-),Mammarenavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,0,-6.907755278982137,,307.0,Flexal mammarenavirus,,,,,,Polyploviricotina,,ICTVonline=20182575,0.0,Arenaviridae,Mammarenavirus,6,1.7919261220073759,4,,,Bunyavirales,Flexal mammarenavirus,45220,45220,Flexal virus
192,,Picornaviridae,ssRNA(+),Aphthovirus,,"Moved,",24.0,Picornavirales,,2005.200-2G.04.Picornavirales.pdf,3581,8.183397649249999,,2003.0,Foot-and-mouth disease virus,,,,,,,,ICTVonline=20181961,1.0,Picornaviridae,Aphthovirus,8975,9.102198324777087,22,,,Picornavirales,Foot-and-mouth disease virus,12110,12110,Foot-and-mouth disease virus
193,,Flaviviridae,ssRNA(+),Pegivirus,,"New,Assigned as Type Species,",27.0,,,2012.011a-dV.A.v2.Pegivirus.pdf,15,2.7081168655467533,,3013.0,Pegivirus A,,,,,,,,ICTVonline=20183140,1.0,Flaviviridae,Pegivirus,615,6.421623893821456,6,,,,Pegivirus A,1307800,1307800,GB virus A
194,,,,,,,,,,,77,4.34381840878234,,,,,,,,,,,,,Flaviviridae,Hepacivirus,158,5.062601362120862,2,,,,Hepatitis GB virus B,39113,39113,GB virus B
195,,Flaviviridae,ssRNA(+),Pegivirus,,"New,",31.0,,,2016.013aS.A.v1.Pegivirus_9sp.pdf,635,6.453626573694601,,3015.0,Pegivirus C,,,,,,,,ICTVonline=20183142,0.0,Flaviviridae,Pegivirus,5017,8.520587623806538,2,,,,Pegivirus C,54290,54290,GB virus C
196,,Togaviridae,ssRNA(+),Alphavirus,,"Moved,",2.0,,,Ratification_1974.pdf,94,4.54330542051129,,4678.0,Getah virus,,,,,,,,ICTVonline=20185092,0.0,Togaviridae,Alphavirus,140,4.941649565440937,12,,,,Getah virus,59300,59300,Getah virus
197,,Retroviridae,ssRNA-RT,Gammaretrovirus,,"New,",32.0,Ortervirales,,2017.013D.A.v1.Ortervirales.zip,269,5.5947150970670485,,1924.0,Gibbon ape leukemia virus,,Orthoretrovirinae,,,,,,ICTVonline=20185011,0.0,Retroviridae,Gammaretrovirus,51,3.9318452403752318,1,,,Ortervirales,Gibbon ape leukemia virus,11840,11840,Gibbon ape leukemia virus
198,,Adenoviridae,dsDNA,Atadenovirus,,"Renamed,",28.0,,,2013.003aV.A.v1.Adenoviridae_spren.pdf,78,4.356721647120231,,2398.0,Ovine atadenovirus D,,,,,,,,ICTVonline=20182393,1.0,Adenoviridae,Atadenovirus,1,0.0009995003330834232,1,,,,Ovine atadenovirus D,111168,111168,Goat adenovirus
199,,Poxviridae,dsDNA,Capripoxvirus,,"Renamed,",12.0,,,ICTV 5th Report.pdf,47,3.85016887807946,,4437.0,Goatpox virus,,Chordopoxvirinae,,,,,,ICTVonline=20184751,0.0,Poxviridae,Capripoxvirus,299,5.7004469178666985,1,,,,Goatpox virus,186805,186805,Goatpox virus
200,,Reoviridae,dsRNA,Orbivirus,,"Moved,",25.0,,,2007.127-129V.v2.Spina-Sedoreovirinae.pdf,13,2.5650262775800314,,4510.0,Great Island virus,,Sedoreovirinae,,,,,,ICTVonline=20184887,0.0,Reoviridae,Orbivirus,141,4.9487669825516,1,,,,Great Island virus,204269,204269,Great Island virus
201,,Hepadnaviridae,dsDNA-RT,Orthohepadnavirus,,"Renamed,",23.0,,,ICTV 8th Report.pdf,54,3.989002564911327,,3565.0,Ground squirrel hepatitis virus,,,,,,,,ICTVonline=20183652,0.0,Hepadnaviridae,Orthohepadnavirus,29,3.367330312150578,1,,,,Ground squirrel hepatitis virus,10406,10406,Ground squirrel hepatitis virus
202,Ellioviricetes,Peribunyaviridae,ssRNA(-),Orthobunyavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,2,0.6936470556015963,,432.0,Guama orthobunyavirus,,,,,,Polyploviricotina,,ICTVonline=20180110,0.0,Peribunyaviridae,Orthobunyavirus,6,1.7919261220073759,10,,,Bunyavirales,Guama orthobunyavirus,1678234,1678234,Guama virus
203,Ellioviricetes,Arenaviridae,ssRNA(+/-),Mammarenavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,1,0.0009995003330834232,,309.0,Guanarito mammarenavirus,,,,,,Polyploviricotina,,ICTVonline=20182577,0.0,Arenaviridae,Mammarenavirus,139,4.934481127349418,0,,,Bunyavirales,Guanarito mammarenavirus,45219,45219,Guanarito mammarenavirus
204,Ellioviricetes,Arenaviridae,ssRNA(+/-),Mammarenavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,28,3.3322402238231783,,309.0,Guanarito mammarenavirus,,,,,,Polyploviricotina,,ICTVonline=20182577,0.0,Arenaviridae,Mammarenavirus,139,4.934481127349418,5,,,Bunyavirales,Guanarito mammarenavirus,45219,45219,Guanarito virus
205,Ellioviricetes,Peribunyaviridae,ssRNA(-),Orthobunyavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,16,2.7726512202867375,,433.0,Guaroa orthobunyavirus,,,,,,Polyploviricotina,,ICTVonline=20180111,0.0,Peribunyaviridae,Orthobunyavirus,80,4.3820391345957574,2,,,Bunyavirales,Guaroa orthobunyavirus,80941,80941,Guaroa virus
206,,,,,,,,,,,4,1.3865443298750981,,,,,,,,,,,,,Adenoviridae,Mastadenovirus,1,0.0009995003330834232,1,,,,Guinea pig adenovirus,47901,47901,Guinea pig adenovirus
208,,Parvoviridae,ssDNA(+/-),Protoparvovirus,,"New,",28.0,,,2013.001a-aaaV.A.v4.Parvoviridae.pdf,41,3.713596456650773,,3995.0,Rodent protoparvovirus 1,,Parvovirinae,,,,,,ICTVonline=20184275,1.0,Parvoviridae,Protoparvovirus,24,3.178095496146581,1,,,,Rodent protoparvovirus 1,10799,10799,H-1 parvovirus
209,,Papillomaviridae,dsDNA,Pipapillomavirus,,"New,",32.0,,,2017.010D.A.v1.Papillomaviridae_2subf.zip,2,0.6936470556015963,,3837.0,Pipapillomavirus 1,,Firstpapillomavirinae,,,,,,ICTVonline=20184105,1.0,Papillomaviridae,Pipapillomavirus,5,1.6096378924367667,1,,,,Pipapillomavirus 1,334212,334212,Hamster oral papillomavirus
210,,,,,,,,,,,6,1.7919261220073759,,,,,,,,,,,,,Parvoviridae,Protoparvovirus,3,1.09894556645823,1,,,,Hamster parvovirus,42843,42843,Hamster parvovirus
211,,Polyomaviridae,dsDNA,Alphapolyomavirus,,"Renamed,Moved,",30.0,,,2015.015a-aaD.A.v2.Polyomaviridae_rev.pdf,46,3.828663135383238,,4122.0,Mesocricetus auratus polyomavirus 1,,,,,,,,ICTVonline=20184429,0.0,Polyomaviridae,Alphapolyomavirus,23,3.135537693244867,1,,,,Mesocricetus auratus polyomavirus 1,1891729,1891729,Hamster polyomavirus
212,Ellioviricetes,Hantaviridae,ssRNA(-),Orthohantavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,1,0.0009995003330834232,,370.0,Hantaan orthohantavirus,,,,,,Polyploviricotina,,ICTVonline=20180037,1.0,Hantaviridae,Orthohantavirus,1116,7.017507038998202,0,,,Bunyavirales,Hantaan orthohantavirus,1980471,1980471,Hantaan orthohantavirus
214,Monjiviricetes,Paramyxoviridae,ssRNA(-),Henipavirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,172,5.147500290750041,,117.0,Hendra henipavirus,,,,,,Haploviricotina,,ICTVonline=20181609,1.0,Paramyxoviridae,Henipavirus,135,4.905282185818402,0,,,Mononegavirales,Hendra henipavirus,63330,63330,Hendra henipavirus
215,,Picornaviridae,ssRNA(+),Hepatovirus,,"Renamed,",29.0,Picornavirales,,2014.016aV.A.v1.Picornaviridae_spren.pdf,4212,8.345693110670743,,2039.0,Hepatovirus A,,,,,,,,ICTVonline=20182003,1.0,Picornaviridae,Hepatovirus,8235,9.016148764044642,2,,,Picornavirales,Hepatovirus A,12092,12092,Hepatitis A virus
216,,Hepadnaviridae,dsDNA-RT,Orthohepadnavirus,,"New,Assigned as Type Species,",12.0,,,ICTV 5th Report.pdf,36245,10.49805674732499,,3566.0,Hepatitis B virus,,,,,,,,ICTVonline=20183653,1.0,Hepadnaviridae,Orthohepadnavirus,112003,11.626280944561119,4,,,,Hepatitis B virus,10407,10407,Hepatitis B virus
217,,Flaviviridae,ssRNA(+),Hepacivirus,,"Renamed,",31.0,,,"2016.010a,bS.A.v2.Hepacivirus_13sp1ren.pdf",44675,10.707169362411513,,3001.0,Hepacivirus C,,,,,,,,ICTVonline=20183127,1.0,Flaviviridae,Hepacivirus,238512,12.382174906702872,1,,,,Hepacivirus C,11103,11103,Hepatitis C virus
218,,,ssRNA(-),Deltavirus,,"New,Assigned as Type Species,",13.0,,,Ratification_1993.pdf,1238,7.121253260998658,,4946.0,Hepatitis delta virus,,,,,,,,ICTVonline=20185348,1.0,,Deltavirus,2486,7.81843067432319,1,,,,Hepatitis delta virus,12475,12475,Hepatitis delta virus
219,,Adenoviridae,dsDNA,Mastadenovirus,,"Renamed,",28.0,,,2013.003aV.A.v1.Adenoviridae_spren.pdf,4,1.3865443298750981,,2433.0,Human mastadenovirus A,,,,,,,,ICTVonline=20182422,0.0,Adenoviridae,Mastadenovirus,219,5.389076296016121,2,,,,Human mastadenovirus A,129875,129875,Human adenovirus A
220,,Adenoviridae,dsDNA,Mastadenovirus,,"Renamed,",28.0,,,2013.003aV.A.v1.Adenoviridae_spren.pdf,9,2.1973356822749484,,2434.0,Human mastadenovirus B,,,,,,,,ICTVonline=20182423,0.0,Adenoviridae,Mastadenovirus,3243,8.08425441466373,5,,,,Human mastadenovirus B,108098,108098,Human adenovirus B
221,,Adenoviridae,dsDNA,Mastadenovirus,,"Renamed,",28.0,,,2013.003aV.A.v1.Adenoviridae_spren.pdf,16,2.7726512202867375,,2435.0,Human mastadenovirus C,,,,,,,,ICTVonline=20182424,1.0,Adenoviridae,Mastadenovirus,2567,7.850493570430862,5,,,,Human mastadenovirus C,129951,129951,Human adenovirus C
222,,Adenoviridae,dsDNA,Mastadenovirus,,"Renamed,",28.0,,,2013.003aV.A.v1.Adenoviridae_spren.pdf,6,1.7919261220073759,,2436.0,Human mastadenovirus D,,,,,,,,ICTVonline=20182425,0.0,Adenoviridae,Mastadenovirus,2122,7.660114790427352,2,,,,Human mastadenovirus D,130310,130310,Human adenovirus D
223,,Adenoviridae,dsDNA,Mastadenovirus,,"Renamed,",28.0,,,2013.003aV.A.v1.Adenoviridae_spren.pdf,4,1.3865443298750981,,2437.0,Human mastadenovirus E,,,,,,,,ICTVonline=20182426,0.0,Adenoviridae,Mastadenovirus,609,6.411819909744674,3,,,,Human mastadenovirus E,130308,130308,Human adenovirus E
